id_turista;procedencia;fec_salida;fec_llegada;gasto
5100662;Europa;10/08/18;05/08/18;555
5100663;Asia;05/11/18;24/10/18;3558
5100664;Oceania;05/07/18;24/06/18;2442
5100665;Europa;11/09/18;04/09/18;1295
5100666;Asia;07/12/18;26/11/18;3373
5100667;Asia;19/11/18;11/11/18;2198
5100668;Europa;10/08/18;01/08/18;1701
5100669;Asia;28/02/18;15/02/18;3647
5100670;Asia;23/03/18;10/03/18;1138
5100671;Europa;28/04/18;21/04/18;1183
5100672;Asia;27/05/18;15/05/18;2682
5100673;Oceania;04/10/18;22/09/18;744
5100674;Europa;19/12/18;15/12/18;732
5100675;Asia;10/05/18;05/05/18;445
5100676;Europa;02/06/18;25/05/18;1792
5100677;Asia;25/02/18;14/02/18;2559
5100678;Asia;30/08/18;22/08/18;2062
5100679;Europa;17/09/18;07/09/18;580
5100680;America;06/05/18;28/04/18;1728
5100681;America;17/01/18;04/01/18;2756
5100682;Europa;05/06/18;31/05/18;415
5100683;America;14/04/18;08/04/18;1236
5100684;Asia;14/04/18;05/04/18;2832
5100685;Asia;22/06/18;12/06/18;1830
5100686;Asia;23/10/18;15/10/18;1198
5100687;America;08/01/18;28/12/17;2486
5100688;America;26/08/18;15/08/18;2354
5100689;Asia;30/08/18;20/08/18;2600
5100690;Europa;12/02/18;06/02/18;546
5100691;Europa;12/03/18;10/03/18;432
5100692;Europa;10/04/18;05/04/18;540
5100693;Asia;12/04/18;06/04/18;1086
5100694;Asia;06/01/18;30/12/17;584
5100695;Europa;29/12/18;21/12/18;768
5100696;Europa;31/03/18;26/03/18;1230
5100697;Asia;21/08/18;11/08/18;730
5100698;America;12/07/18;05/07/18;518
5100699;Europa;22/09/18;12/09/18;820
5100700;America;03/03/18;21/02/18;1940
5100701;Oceania;26/04/18;15/04/18;2057
5100702;Oceania;16/09/18;06/09/18;2540
5100703;Oceania;12/11/18;07/11/18;1450
5100704;Oceania;25/08/18;15/08/18;1490
5100705;Asia;14/09/18;06/09/18;1414
5100706;Asia;13/03/18;07/03/18;690
5100707;Asia;06/06/18;25/05/18;2994
5100708;Asia;26/07/18;18/07/18;1430
5100709;Asia;12/02/18;07/02/18;780
5100710;America;03/11/18;28/10/18;594
5100711;Europa;10/12/18;04/12/18;1662
5100712;Europa;05/09/18;01/09/18;1040
5100713;Asia;09/10/18;29/09/18;1130
5100714;Europa;17/08/18;08/08/18;1269
5100715;Europa;18/07/18;15/07/18;723
5100716;America;25/01/18;20/01/18;760
5100717;Europa;26/09/18;23/09/18;753
5100718;Oceania;16/10/18;11/10/18;1200
5100719;Oceania;18/06/18;10/06/18;1704
5100720;Asia;07/12/18;01/12/18;1470
5100721;Asia;05/10/18;25/09/18;1070
5100722;Asia;26/08/18;21/08/18;970
5100723;Asia;29/03/18;19/03/18;730
5100724;Europa;04/10/18;27/09/18;1505
5100725;Asia;15/05/18;04/05/18;1723
5100726;America;21/07/18;13/07/18;480
5100727;Asia;25/09/18;12/09/18;3816
5100728;America;16/05/18;07/05/18;1962
5100729;Asia;18/12/18;10/12/18;982
5100730;Asia;21/02/18;13/02/18;2462
5100731;Asia;23/07/18;14/07/18;2166
5100732;America;14/11/18;07/11/18;1785
5100733;Asia;16/09/18;04/09/18;1098
5100734;America;04/04/18;24/03/18;2112
5100735;Europa;06/04/18;01/04/18;325
5100736;Asia;27/03/18;18/03/18;2526
5100737;Europa;16/09/18;09/09/18;924
5100738;Europa;24/12/18;22/12/18;550
5100739;Asia;13/03/18;06/03/18;1270
5100740;Asia;19/11/18;10/11/18;2724
5100741;Europa;08/09/18;30/08/18;1899
5100742;Asia;23/05/18;15/05/18;1550
5100743;Europa;27/04/18;19/04/18;832
5100744;America;21/04/18;10/04/18;759
5100745;Europa;24/03/18;16/03/18;776
5100746;America;09/05/18;03/05/18;324
5100747;America;02/10/18;22/09/18;820
5100748;America;15/05/18;03/05/18;2724
5100749;Europa;26/02/18;24/02/18;444
5100750;Oceania;07/05/18;01/05/18;426
5100751;America;15/08/18;06/08/18;1836
5100752;Europa;06/10/18;04/10/18;290
5100753;Europa;30/06/18;26/06/18;316
5100754;Asia;21/12/18;09/12/18;762
5100755;America;06/03/18;27/02/18;1379
5100756;Asia;24/05/18;11/05/18;4024
5100757;Europa;09/08/18;07/08/18;538
5100758;Oceania;07/04/18;30/03/18;1840
5100759;America;16/07/18;05/07/18;2585
5100760;Oceania;24/04/18;15/04/18;2304
5100761;Asia;16/06/18;09/06/18;983
5100762;Oceania;19/10/18;07/10/18;3072
5100763;Europa;15/04/18;06/04/18;1404
5100764;Asia;03/04/18;24/03/18;1260
5100765;Asia;12/03/18;03/03/18;1239
5100766;Europa;25/02/18;16/02/18;1404
5100767;Europa;21/08/18;12/08/18;1359
5100768;America;26/01/18;13/01/18;2756
5100769;Asia;17/09/18;09/09/18;1486
5100770;Europa;07/11/18;30/10/18;2240
5100771;America;30/12/18;20/12/18;720
5100772;Europa;11/02/18;02/02/18;2151
5100773;Asia;27/08/18;19/08/18;1782
5100774;Asia;20/05/18;09/05/18;3307
5100775;America;29/01/18;21/01/18;2184
5100776;America;29/07/18;22/07/18;1834
5100777;Asia;02/08/18;26/07/18;1893
5100778;America;29/08/18;23/08/18;990
5100779;Europa;22/08/18;19/08/18;375
5100780;America;21/11/18;09/11/18;1116
5100781;Europa;26/09/18;18/09/18;1632
5100782;Oceania;08/08/18;30/07/18;2160
5100783;Asia;18/03/18;09/03/18;1653
5100784;America;08/07/18;28/06/18;1170
5100785;Europa;18/12/18;14/12/18;1196
5100786;Europa;15/05/18;11/05/18;1100
5100787;Europa;26/02/18;19/02/18;1820
5100788;Asia;30/01/18;23/01/18;2138
5100789;Asia;26/06/18;18/06/18;854
5100790;Asia;16/07/18;05/07/18;920
5100791;Oceania;16/06/18;07/06/18;1062
5100792;Asia;05/03/18;22/02/18;2471
5100793;America;29/06/18;22/06/18;511
5100794;America;04/02/18;27/01/18;520
5100795;Asia;20/01/18;09/01/18;2537
5100796;Europa;08/07/18;28/06/18;500
5100797;Asia;29/09/18;22/09/18;2201
5100798;Europa;01/01/19;25/12/18;2065
5100799;America;28/09/18;16/09/18;768
5100800;Oceania;30/12/18;25/12/18;1310
5100801;Oceania;30/05/18;22/05/18;2312
5100802;Europa;01/09/18;30/08/18;446
5100803;Asia;21/02/18;12/02/18;2130
5100804;Asia;16/10/18;06/10/18;2710
5100805;Oceania;05/02/18;30/01/18;1266
5100806;Oceania;14/05/18;09/05/18;1295
5100807;Europa;06/01/18;04/01/18;408
5100808;America;16/09/18;06/09/18;2110
5100809;Europa;20/10/18;15/10/18;1000
5100810;Asia;10/02/18;04/02/18;1290
5100811;America;04/08/18;24/07/18;561
5100812;Asia;15/01/18;02/01/18;800
5100813;America;09/03/18;24/02/18;1794
5100814;America;09/10/18;30/09/18;1548
5100815;Oceania;21/04/18;11/04/18;2960
5100816;America;11/08/18;04/08/18;1134
5100817;Asia;17/10/18;06/10/18;2361
5100818;Europa;23/06/18;16/06/18;1239
5100819;Asia;16/07/18;05/07/18;1514
5100820;Oceania;27/06/18;15/06/18;2052
5100821;Europa;20/07/18;13/07/18;1407
5100822;Europa;16/02/18;10/02/18;846
5100823;America;25/05/18;17/05/18;1728
5100824;Asia;03/03/18;19/02/18;1110
5100825;Europa;11/08/18;03/08/18;1592
5100826;Europa;24/11/18;14/11/18;2290
5100827;America;08/07/18;02/07/18;1476
5100828;Europa;19/06/18;13/06/18;1602
5100829;Europa;03/02/18;30/01/18;1060
5100830;America;24/11/18;12/11/18;1104
5100831;Asia;28/09/18;23/09/18;530
5100832;Oceania;11/12/18;28/11/18;884
5100833;Europa;14/06/18;06/06/18;2248
5100834;Europa;10/10/18;06/10/18;1008
5100835;Europa;21/12/18;15/12/18;1260
5100836;Europa;25/09/18;18/09/18;1645
5100837;Europa;06/10/18;02/10/18;572
5100838;America;23/12/18;12/12/18;1408
5100839;America;06/04/18;27/03/18;1000
5100840;Europa;18/10/18;08/10/18;2080
5100841;Europa;25/12/18;23/12/18;266
5100842;Europa;03/03/18;22/02/18;1755
5100843;Asia;25/03/18;20/03/18;455
5100844;Asia;20/10/18;11/10/18;1023
5100845;Europa;03/09/18;30/08/18;760
5100846;Asia;22/09/18;15/09/18;1571
5100847;Europa;27/06/18;23/06/18;776
5100848;America;28/02/18;16/02/18;3300
5100849;America;20/09/18;11/09/18;2700
5100850;Europa;20/09/18;13/09/18;1239
5100851;Europa;30/07/18;25/07/18;680
5100852;Europa;01/05/18;27/04/18;740
5100853;Asia;03/03/18;25/02/18;756
5100854;America;24/02/18;12/02/18;1188
5100855;America;28/12/18;20/12/18;2368
5100856;America;20/03/18;09/03/18;3234
5100857;Oceania;11/05/18;30/04/18;2827
5100858;America;22/02/18;17/02/18;975
5100859;Europa;13/07/18;06/07/18;630
5100860;America;15/05/18;08/05/18;1687
5100861;Asia;02/01/18;23/12/17;1400
5100862;America;02/08/18;26/07/18;1316
5100863;Europa;28/01/18;21/01/18;2044
5100864;Asia;05/12/18;23/11/18;1446
5100865;America;15/12/18;06/12/18;963
5100866;Asia;04/08/18;29/07/18;534
5100867;America;22/08/18;09/08/18;1092
5100868;Asia;28/01/18;23/01/18;570
5100869;Asia;14/12/18;04/12/18;1500
5100870;Europa;09/09/18;04/09/18;605
5100871;Europa;04/10/18;01/10/18;216
5100872;America;29/06/18;18/06/18;1661
5100873;America;04/04/18;29/03/18;888
5100874;Asia;02/08/18;27/07/18;1050
5100875;Europa;02/11/18;26/10/18;1918
5100876;America;09/07/18;30/06/18;1368
5100877;Asia;19/03/18;13/03/18;1692
5100878;Europa;17/08/18;08/08/18;873
5100879;Oceania;01/02/18;21/01/18;2992
5100880;America;20/07/18;09/07/18;1694
5100881;Asia;08/05/18;28/04/18;3060
5100882;Europa;03/01/18;25/12/17;819
5100883;America;04/08/18;23/07/18;1032
5100884;Europa;06/11/18;31/10/18;684
5100885;Asia;26/05/18;14/05/18;2874
5100886;Asia;21/08/18;10/08/18;3076
5100887;Europa;21/06/18;12/06/18;1233
5100888;America;29/07/18;22/07/18;469
5100889;Asia;30/04/18;24/04/18;492
5100890;Europa;09/11/18;06/11/18;753
5100891;Europa;10/11/18;01/11/18;549
5100892;Oceania;26/11/18;16/11/18;1100
5100893;Asia;09/09/18;31/08/18;1941
5100894;Oceania;08/11/18;30/10/18;1350
5100895;Asia;13/04/18;06/04/18;955
5100896;Europa;10/11/18;02/11/18;1288
5100897;America;03/02/18;23/01/18;2079
5100898;Europa;21/01/18;18/01/18;192
5100899;America;10/09/18;28/08/18;2951
5100900;Asia;15/09/18;09/09/18;1854
5100901;America;21/07/18;16/07/18;455
5100902;Europa;22/10/18;15/10/18;623
5100903;Asia;17/04/18;05/04/18;870
5100904;Europa;03/04/18;28/03/18;1674
5100905;Asia;03/11/18;27/10/18;1872
5100906;Asia;25/03/18;19/03/18;1434
5100907;Europa;16/02/18;08/02/18;1664
5100908;Asia;17/05/18;10/05/18;1585
5100909;Asia;01/02/18;21/01/18;2471
5100910;Europa;19/11/18;10/11/18;2016
5100911;Asia;21/08/18;09/08/18;3678
5100912;America;24/05/18;18/05/18;732
5100913;America;21/04/18;15/04/18;726
5100914;Europa;17/07/18;11/07/18;990
5100915;Asia;22/12/18;16/12/18;870
5100916;Asia;06/09/18;24/08/18;1788
5100917;America;02/03/18;19/02/18;2486
5100918;Asia;26/11/18;18/11/18;1302
5100919;America;01/02/18;23/01/18;1665
5100920;Europa;10/04/18;03/04/18;770
5100921;Europa;02/08/18;27/07/18;1098
5100922;Europa;23/09/18;20/09/18;192
5100923;America;25/04/18;18/04/18;749
5100924;Asia;05/10/18;28/09/18;1711
5100925;Asia;12/12/18;04/12/18;686
5100926;Europa;06/08/18;27/07/18;1200
5100927;America;09/11/18;01/11/18;528
5100928;Oceania;05/11/18;29/10/18;1904
5100929;America;10/08/18;02/08/18;2096
5100930;America;09/03/18;02/03/18;1855
5100931;America;05/07/18;28/06/18;1554
5100932;Asia;30/05/18;17/05/18;3803
5100933;Europa;17/01/18;09/01/18;1360
5100934;America;05/05/18;28/04/18;1918
5100935;America;23/04/18;16/04/18;1554
5100936;Europa;05/11/18;27/10/18;1494
5100937;Oceania;24/06/18;14/06/18;550
5100938;America;19/05/18;12/05/18;2044
5100939;Oceania;28/07/18;16/07/18;1260
5100940;Asia;13/07/18;02/07/18;2108
5100941;Asia;13/06/18;08/06/18;745
5100942;Asia;03/06/18;21/05/18;995
5100943;Europa;11/12/18;08/12/18;606
5100944;Asia;23/08/18;14/08/18;2481
5100945;Asia;19/01/18;07/01/18;750
5100946;Asia;22/01/18;11/01/18;832
5100947;Asia;14/05/18;06/05/18;1382
5100948;Asia;21/10/18;09/10/18;1866
5100949;Europa;03/02/18;27/01/18;2086
5100950;Europa;31/05/18;26/05/18;1115
5100951;Asia;16/06/18;11/06/18;405
5100952;Europa;31/03/18;26/03/18;475
5100953;America;15/12/18;06/12/18;1143
5100954;America;31/03/18;22/03/18;819
5100955;Asia;26/05/18;20/05/18;1248
5100956;Europa;26/05/18;18/05/18;2328
5100957;America;27/11/18;15/11/18;1728
5100958;Asia;03/07/18;21/06/18;1026
5100959;America;10/03/18;03/03/18;1883
5100960;Europa;15/04/18;12/04/18;279
5100961;Asia;14/03/18;05/03/18;690
5100962;Europa;09/03/18;07/03/18;336
5100963;Asia;06/05/18;26/04/18;2870
5100964;Europa;02/01/18;30/12/17;573
5100965;America;15/09/18;08/09/18;1407
5100966;Europa;30/04/18;27/04/18;180
5100967;America;23/06/18;13/06/18;2060
5100968;America;21/06/18;12/06/18;675
5100969;Oceania;11/03/18;05/03/18;1380
5100970;Asia;15/11/18;09/11/18;456
5100971;America;01/02/18;26/01/18;510
5100972;Asia;21/02/18;14/02/18;2173
5100973;Europa;08/10/18;03/10/18;760
5100974;Europa;10/01/18;02/01/18;552
5100975;Asia;12/07/18;01/07/18;3142
5100976;Europa;08/02/18;01/02/18;1981
5100977;Asia;22/07/18;09/07/18;1580
5100978;Europa;31/10/18;26/10/18;1090
5100979;Asia;23/07/18;17/07/18;588
5100980;Asia;23/01/18;17/01/18;1776
5100981;America;27/06/18;19/06/18;1776
5100982;Asia;30/01/18;18/01/18;2682
5100983;America;10/11/18;30/10/18;2002
5100984;Europa;24/12/18;15/12/18;720
5100985;Europa;31/01/18;22/01/18;2682
5100986;Asia;04/11/18;23/10/18;2622
5100987;Asia;04/04/18;29/03/18;1824
5100988;Europa;16/05/18;11/05/18;835
5100989;Europa;10/05/18;30/04/18;2610
5100990;Europa;26/10/18;16/10/18;1600
5100991;Asia;16/12/18;07/12/18;1518
5100992;Asia;14/09/18;03/09/18;3417
5100993;Asia;15/07/18;03/07/18;2238
5100994;Europa;24/06/18;18/06/18;1776
5100995;America;04/12/18;29/11/18;1255
5100996;Asia;08/01/18;27/12/17;1086
5100997;Asia;16/02/18;11/02/18;1575
5100998;Oceania;29/08/18;22/08/18;1484
5100999;America;04/03/18;20/02/18;1260
5101000;America;17/07/18;04/07/18;2587
5101001;Asia;03/06/18;21/05/18;904
5101002;America;30/06/18;20/06/18;1870
5101003;Europa;11/06/18;09/06/18;342
5101004;America;07/12/18;02/12/18;870
5101005;Asia;09/08/18;03/08/18;1062
5101006;Europa;03/02/18;28/01/18;1416
5101007;America;05/12/18;29/11/18;1464
5101008;Asia;18/12/18;12/12/18;906
5101009;Asia;14/09/18;06/09/18;566
5101010;Europa;16/07/18;06/07/18;1820
5101011;Oceania;24/03/18;14/03/18;2550
5101012;Europa;17/03/18;13/03/18;396
5101013;Asia;22/10/18;15/10/18;885
5101014;Asia;16/06/18;09/06/18;1375
5101015;America;19/12/18;11/12/18;1768
5101016;Europa;13/04/18;04/04/18;720
5101017;Oceania;27/01/18;17/01/18;1640
5101018;Oceania;28/06/18;21/06/18;1127
5101019;America;21/07/18;13/07/18;1520
5101020;Europa;13/03/18;04/03/18;1125
5101021;Asia;08/11/18;29/10/18;2480
5101022;America;15/10/18;09/10/18;1170
5101023;Europa;20/12/18;11/12/18;495
5101024;America;27/06/18;19/06/18;1336
5101025;Europa;27/08/18;21/08/18;1620
5101026;Asia;19/12/18;13/12/18;1644
5101027;Oceania;22/07/18;10/07/18;3360
5101028;Asia;09/03/18;28/02/18;2463
5101029;Asia;11/11/18;02/11/18;1644
5101030;Europa;26/06/18;17/06/18;2565
5101031;Asia;22/03/18;15/03/18;1893
5101032;America;19/03/18;06/03/18;2340
5101033;Asia;22/10/18;15/10/18;1431
5101034;America;20/09/18;09/09/18;2695
5101035;Europa;10/03/18;06/03/18;1148
5101036;Europa;16/10/18;10/10/18;486
5101037;Asia;03/10/18;24/09/18;726
5101038;Asia;21/05/18;12/05/18;996
5101039;Oceania;11/10/18;29/09/18;2160
5101040;Asia;19/08/18;09/08/18;1250
5101041;America;02/02/18;21/01/18;1824
5101042;Asia;07/09/18;29/08/18;1455
5101043;Asia;17/05/18;06/05/18;2647
5101044;America;14/03/18;02/03/18;1692
5101045;Europa;17/10/18;09/10/18;1680
5101046;Europa;07/09/18;31/08/18;1666
5101047;Europa;16/02/18;08/02/18;1352
5101048;Europa;01/03/18;27/02/18;510
5101049;Asia;12/06/18;04/06/18;1398
5101050;Asia;30/03/18;18/03/18;2406
5101051;Asia;07/05/18;02/05/18;1305
5101052;Asia;15/09/18;04/09/18;2790
5101053;Europa;27/04/18;21/04/18;756
5101054;Europa;08/03/18;02/03/18;1722
5101055;Asia;02/01/18;23/12/17;2090
5101056;America;26/04/18;20/04/18;1740
5101057;America;08/05/18;01/05/18;1001
5101058;Oceania;12/07/18;06/07/18;384
5101059;Asia;24/12/18;13/12/18;1789
5101060;Europa;28/04/18;19/04/18;909
5101061;Europa;26/08/18;18/08/18;1456
5101062;Europa;07/07/18;29/06/18;1576
5101063;Asia;04/04/18;24/03/18;3032
5101064;Europa;17/06/18;12/06/18;750
5101065;Oceania;04/04/18;27/03/18;1016
5101066;Asia;21/06/18;13/06/18;1886
5101067;Asia;15/02/18;10/02/18;1365
5101068;Oceania;31/05/18;24/05/18;1106
5101069;Europa;21/06/18;14/06/18;756
5101070;Asia;22/07/18;16/07/18;1152
5101071;Asia;28/03/18;19/03/18;2076
5101072;America;20/06/18;09/06/18;2948
5101073;Europa;07/08/18;05/08/18;406
5101074;America;21/08/18;14/08/18;1029
5101075;Asia;20/04/18;15/04/18;1425
5101076;Europa;15/07/18;12/07/18;471
5101077;Asia;21/05/18;10/05/18;2020
5101078;Oceania;14/12/18;02/12/18;1356
5101079;Oceania;25/05/18;17/05/18;2112
5101080;America;23/01/18;17/01/18;930
5101081;Europa;26/08/18;18/08/18;1752
5101082;Asia;06/07/18;26/06/18;2750
5101083;Europa;20/02/18;14/02/18;1446
5101084;Asia;05/08/18;26/07/18;2290
5101085;Asia;17/06/18;05/06/18;2850
5101086;Asia;04/08/18;24/07/18;1206
5101087;Asia;14/02/18;05/02/18;1599
5101088;Asia;01/06/18;25/05/18;1172
5101089;America;25/08/18;19/08/18;1098
5101090;Europa;23/02/18;20/02/18;237
5101091;Europa;15/07/18;07/07/18;1352
5101092;Europa;03/04/18;30/03/18;1044
5101093;Asia;12/09/18;05/09/18;1991
5101094;Asia;28/04/18;19/04/18;2688
5101095;Europa;04/05/18;25/04/18;1512
5101096;Asia;10/10/18;28/09/18;1314
5101097;Asia;20/03/18;14/03/18;1200
5101098;America;02/09/18;26/08/18;2058
5101099;Europa;25/07/18;18/07/18;1995
5101100;Europa;01/03/18;24/02/18;1060
5101101;Asia;08/09/18;03/09/18;1295
5101102;Europa;23/06/18;20/06/18;282
5101103;Asia;18/06/18;12/06/18;1908
5101104;Europa;20/09/18;17/09/18;759
5101105;Asia;30/04/18;21/04/18;1779
5101106;Europa;19/09/18;16/09/18;177
5101107;Asia;03/12/18;23/11/18;1040
5101108;America;09/05/18;28/04/18;1056
5101109;Europa;10/04/18;05/04/18;1250
5101110;Asia;25/08/18;17/08/18;1206
5101111;America;21/09/18;09/09/18;3060
5101112;Europa;14/12/18;04/12/18;1040
5101113;Asia;19/10/18;08/10/18;2933
5101114;Europa;09/10/18;30/09/18;2493
5101115;Asia;09/10/18;30/09/18;2778
5101116;Europa;31/10/18;25/10/18;354
5101117;America;23/06/18;16/06/18;1246
5101118;Oceania;31/12/18;25/12/18;336
5101119;Europa;09/03/18;05/03/18;556
5101120;Europa;28/03/18;20/03/18;2168
5101121;America;05/05/18;23/04/18;3348
5101122;Asia;01/08/18;27/07/18;725
5101123;Asia;27/08/18;20/08/18;1228
5101124;Asia;31/08/18;19/08/18;3546
